customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
1161-GSQ,Male,0,Yes,No,9,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,81.94,739.67,Yes
5297-HVX,Male,1,No,No,68,Yes,No,DSL,Yes,No,No,Yes,No,No,Two year,Yes,Bank transfer (automatic),56.71,3873.34,No
1995-IYE,Female,0,Yes,No,46,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Mailed check,79.89,3661.27,No
8629-JBL,Male,1,No,No,67,Yes,Yes,DSL,No,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),100.03,6698.93,No
2016-KES,Female,0,No,No,26,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,20.89,565.41,No
8869-LHZ,Female,0,No,No,8,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Electronic check,63.54,498.17,No
7439-MKG,Female,0,No,No,6,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,94.48,564.61,Yes
8892-NNN,Female,0,Yes,No,24,Yes,Yes,DSL,No,Yes,Yes,No,No,Yes,Two year,Yes,Bank transfer (automatic),73.14,1759.21,No
7863-OQU,Female,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),83.72,4003.72,No
8916-PTB,Male,0,Yes,No,45,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,One year,Yes,Bank transfer (automatic),70.18,3151.89,No
9529-QWI,Female,0,Yes,Yes,13,Yes,No,DSL,Yes,Yes,No,No,No,No,One year,Yes,Bank transfer (automatic),117.93,1534.78,Yes
1878-RZP,Female,0,Yes,No,69,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Electronic check,23.74,1638.76,No
5887-SCW,Male,0,No,No,25,No,No phone service,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Electronic check,67.6,1709.21,No
5859-TFD,Female,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,Month-to-month,No,Credit card (automatic),27.44,571.92,Yes
7331-UIK,Male,1,No,No,66,Yes,No,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,34.31,2251.62,No
9571-VLR,Male,0,No,No,45,No,No phone service,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,56.75,2555.42,No
9684-WOY,Male,0,No,Yes,47,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Two year,No,Electronic check,33.88,1602.47,No
8208-XRF,Female,0,No,No,63,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,115.1,7274.05,Yes
6276-YUM,Female,1,Yes,No,55,No,No phone service,Fiber optic,No,No,No,No,Yes,No,Two year,Yes,Mailed check,113.4,6247.78,No
3062-ZXT,Female,0,Yes,No,19,Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),52.03,992.93,No
1064-AAA,Male,0,Yes,No,35,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),82.54,2898.9,Yes
9006-BDH,Female,0,Yes,No,53,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),71.89,3820.28,No
3568-CGO,Male,1,Yes,No,26,Yes,No,DSL,No,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),100.22,2591.8,No
6463-DJV,Female,0,Yes,Yes,14,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Credit card (automatic),81.31,1141.23,No
3027-EMC,Male,0,Yes,No,45,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,No,Mailed check,18.28,844.49,No
3695-FPJ,Female,0,No,No,44,Yes,Yes,DSL,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,94.95,4174.69,Yes
6258-GSQ,Female,1,No,No,65,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,Yes,Credit card (automatic),93.31,6067.09,No
6618-HVX,Female,0,Yes,No,51,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,One year,No,Electronic check,69.48,3539.84,No
7736-IYE,Male,0,No,No,43,No,No phone service,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,108.99,4651.86,Yes
1391-JBL,Male,1,Yes,Yes,23,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,109.55,2519.96,Yes
6892-KES,Female,0,Yes,No,56,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,70.9,3974.93,No
4561-LHZ,Female,0,No,No,19,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,79.35,1499.96,Yes
7184-MKG,Male,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,118.4,6494.68,No
4099-NNN,Male,0,Yes,No,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,48.28,2883.59,No
7278-OQU,Male,0,No,Yes,59,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),50.87,3012.79,No
9392-PTB,Female,0,No,Yes,33,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,No,Bank transfer (automatic),36.62,1238.05,No
4104-QWI,Male,0,No,No,19,Yes,Yes,DSL,No,No,Yes,Yes,No,Yes,Two year,Yes,Credit card (automatic),108.28,2078.06,No
8215-RZP,Female,0,No,No,28,Yes,Yes,DSL,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,93.07,2585.79,Yes
3454-SCW,Male,1,No,Yes,52,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,28.87,1514.06,Yes
9996-TFD,Female,0,Yes,No,49,Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,Yes,Bank transfer (automatic),116.92,5719.13,Yes
3731-UIK,Male,1,Yes,No,37,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Mailed check,91.71,3384.54,Yes
9154-VLR,Male,0,Yes,No,26,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),103.73,2690.05,Yes
6056-WOY,Male,1,Yes,No,40,No,No phone service,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),23.09,934.19,No
9110-XRF,Male,0,No,Yes,38,Yes,No,DSL,No,No,Yes,No,No,No,One year,Yes,Bank transfer (automatic),69.0,2636.39,No
4840-YUM,Male,0,Yes,Yes,54,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),88.46,4775.37,No
2028-ZXT,Female,0,No,No,22,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,72.82,1600.82,Yes
8385-AAA,Male,1,No,No,16,Yes,No,DSL,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,85.25,1370.96,Yes
1502-BDH,Male,0,No,No,28,Yes,No,DSL,Yes,No,No,Yes,Yes,No,One year,Yes,Mailed check,100.45,2821.12,No
7910-CGO,Male,0,No,No,35,Yes,No,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,55.87,1973.09,Yes
7938-DJV,Female,0,No,No,60,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,103.54,6193.13,No
5488-EMC,Male,0,Yes,No,45,Yes,No,DSL,No,Yes,No,No,No,No,Two year,No,Electronic check,34.62,1558.2,No
1206-FPJ,Female,0,No,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,45.47,2075.6,No
6134-GSQ,Male,0,Yes,No,72,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Month-to-month,No,Electronic check,22.61,1627.16,No
6977-HVX,Male,0,No,No,55,Yes,No,DSL,No,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,54.87,3014.46,No
8721-IYE,Female,0,Yes,Yes,26,Yes,Yes,DSL,No,No,Yes,Yes,No,No,Month-to-month,No,Bank transfer (automatic),56.43,1466.48,No
8035-JBL,Male,0,No,No,25,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),99.18,2467.5,Yes
2484-KES,Female,0,No,Yes,65,Yes,No,DSL,Yes,No,No,No,No,No,Two year,No,Bank transfer (automatic),83.89,5430.54,No
8858-LHZ,Female,0,Yes,No,6,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Two year,Yes,Bank transfer (automatic),62.14,341.42,No
1863-MKG,Male,0,Yes,No,23,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,83.79,1925.2,Yes
3790-NNN,Female,0,No,No,64,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,No,Electronic check,23.55,1500.73,No
8408-OQU,Male,0,No,No,43,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Electronic check,36.37,1553.77,Yes
9755-PTB,Male,0,No,Yes,23,Yes,No,DSL,Yes,No,Yes,Yes,Yes,No,Month-to-month,No,Credit card (automatic),81.26,1888.82,No
6116-QWI,Female,0,No,Yes,30,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,Yes,Bank transfer (automatic),82.71,2468.41,No
7019-RZP,Female,0,Yes,No,18,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No,Two year,No,Electronic check,96.05,1750.15,Yes
2757-SCW,Female,0,Yes,Yes,21,No,No phone service,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,58.75,1258.11,No
8574-TFD,Female,0,Yes,No,57,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),90.87,5150.33,No
7374-UIK,Male,0,No,No,23,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),86.99,2002.16,Yes
7892-VLR,Male,0,Yes,No,45,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),115.07,5172.15,No
2678-WOY,Female,0,No,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,39.87,1710.6,No
4242-XRF,Male,0,No,Yes,47,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,73.69,3441.76,No
5636-YUM,Male,0,No,No,40,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),78.73,3160.82,Yes
2059-ZXT,Male,0,No,No,51,Yes,No,DSL,No,No,Yes,Yes,No,Yes,One year,No,Bank transfer (automatic),118.61,6079.4,No
7668-AAA,Male,0,No,Yes,42,Yes,No,DSL,No,No,Yes,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),38.47,1629.28,No
4157-BDH,Female,1,Yes,No,7,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Mailed check,70.83,500.66,Yes
6915-CGO,Female,0,No,Yes,50,Yes,No,DSL,No,No,No,Yes,No,No,One year,Yes,Bank transfer (automatic),53.04,2651.68,No
3693-DJV,Male,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),71.1,3438.04,No
4627-EMC,Female,0,No,No,6,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Electronic check,41.58,281.7,Yes
6450-FPJ,Female,0,No,Yes,9,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,23.04,198.56,Yes
2663-GSQ,Female,0,Yes,No,57,No,No phone service,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),75.79,4290.03,No
6592-HVX,Male,0,Yes,No,31,No,No phone service,Fiber optic,No,Yes,No,Yes,Yes,Yes,One year,No,Electronic check,52.0,1580.53,No
8392-IYE,Male,0,No,No,21,Yes,No,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,36.54,787.17,Yes
2306-JBL,Male,0,Yes,No,40,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),50.81,2031.69,No
7776-KES,Female,0,No,No,45,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,No,Credit card (automatic),23.2,1046.75,No
6864-LHZ,Male,0,No,Yes,49,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,113.77,5547.87,Yes
8526-MKG,Male,0,Yes,No,20,Yes,Yes,DSL,No,No,No,Yes,Yes,Yes,Month-to-month,No,Mailed check,76.66,1521.9,Yes
9901-NNN,Female,0,No,Yes,17,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),100.13,1697.78,Yes
6575-OQU,Male,1,Yes,No,28,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,Yes,Two year,Yes,Credit card (automatic),60.77,1704.68,No
6530-PTB,Male,0,No,No,41,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,One year,No,Bank transfer (automatic),109.03,4464.25,No
5413-QWI,Female,0,No,No,66,Yes,No,Fiber optic,Yes,Yes,Yes,Yes,No,No,Month-to-month,Yes,Mailed check,66.82,4394.56,No
4748-RZP,Female,0,No,No,25,Yes,No,DSL,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,75.93,1886.48,Yes
1663-SCW,Female,0,Yes,Yes,58,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),67.68,3943.56,Yes
2998-TFD,Male,1,Yes,No,41,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card (automatic),91.94,3773.21,No
8994-UIK,Male,0,No,Yes,6,Yes,No,DSL,No,No,Yes,No,Yes,Yes,Two year,No,Credit card (automatic),75.2,460.38,No
2495-VLR,Male,1,No,Yes,38,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Electronic check,45.55,1717.42,No
4304-WOY,Female,0,No,Yes,6,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,32.88,152.97,Yes
4763-XRF,Female,1,Yes,No,45,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,79.17,3554.8,Yes
6232-YUM,Male,0,Yes,Yes,14,Yes,No,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),67.41,930.74,No
2853-ZXT,Male,0,Yes,Yes,66,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,One year,No,Bank transfer (automatic),27.9,1846.64,No
7585-AAA,Female,0,No,Yes,40,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,One year,No,Mailed check,58.01,2369.69,No
2291-BDH,Female,0,Yes,Yes,3,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,69.99,220.4,No
4581-CGO,Female,0,Yes,No,24,Yes,No,DSL,No,No,No,No,No,No,One year,Yes,Bank transfer (automatic),101.35,2473.44,Yes
8554-DJV,Female,0,No,No,19,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,25.9,500.63,No
8280-EMC,Male,0,Yes,No,18,Yes,No,Fiber optic,No,No,No,No,No,Yes,One year,No,Credit card (automatic),53.27,949.41,Yes
2636-FPJ,Female,0,No,No,64,No,No phone service,Fiber optic,No,No,No,No,No,Yes,One year,No,Bank transfer (automatic),100.93,6464.74,Yes
4696-GSQ,Male,0,No,Yes,35,Yes,Yes,DSL,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Mailed check,83.42,2946.41,Yes
1698-HVX,Male,0,No,No,62,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,47.39,2965.62,No
5737-IYE,Male,0,Yes,No,1,Yes,No,DSL,Yes,No,Yes,No,No,Yes,One year,No,Credit card (automatic),103.21,94.58,No
1854-JBL,Female,0,Yes,Yes,25,Yes,No,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,No,Electronic check,67.83,1699.55,Yes
9164-KES,Female,0,No,Yes,45,Yes,Yes,DSL,Yes,Yes,No,No,No,No,One year,No,Electronic check,68.33,3053.41,No
6855-LHZ,Female,0,No,Yes,49,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),116.4,5715.97,No
8392-MKG,Female,0,No,Yes,16,Yes,No,DSL,Yes,No,No,Yes,No,No,One year,No,Credit card (automatic),113.44,1838.34,No
7528-NNN,Male,0,Yes,No,19,Yes,Yes,Fiber optic,No,No,No,Yes,No,No,One year,No,Credit card (automatic),54.28,1031.92,No
6249-OQU,Female,0,No,No,23,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,32.38,734.73,No
6172-PTB,Female,0,No,Yes,25,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,50.98,1279.9,Yes
2707-QWI,Male,0,No,Yes,16,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,21.31,347.22,Yes
6791-RZP,Female,0,No,No,54,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,20.34,1099.58,No
6535-SCW,Male,0,No,Yes,1,Yes,No,DSL,Yes,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),58.0,60.68,Yes
5931-TFD,Male,0,No,No,42,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Electronic check,112.82,4735.83,No
